Player,date_fix,player_7d_minutes_practice,player_14d_minutes_practice,player_28d_minutes_practice,player_7d_srpe_100_practice,player_14d_srpe_100_practice,player_28d_srpe_100_practice,player_7d_minutes_4_game,player_14d_minutes_4_game,player_28d_minutes_4_game,player_7d_srpe_100_game,player_14d_srpe_100_game,player_28d_srpe_100_game,player_7d_total_srpe_100,player_14d_total_srpe_100,player_28d_total_srpe_100,player_7d_total_min,player_14d_total_min,player_28d_total_min
Elias Rapieque,2024-08-20,120,120,120,12,40,80,0,0,0,0,0,0,12,40,80,120,120,120
Elias Rapieque,2024-08-21,255,255,255,43,102,189,0,0,0,0,0,0,43,102,189,255,255,255
Elias Rapieque,2024-08-22,390,390,390,94,183,316,0,0,0,0,0,0,94,183,316,390,390,390
Elias Rapieque,2024-08-23,490,490,490,152,265,431,0,0,0,0,0,0,152,265,431,490,490,490
Elias Rapieque,2024-08-24,610,610,610,214,378,586,0,0,0,0,0,0,214,378,586,610,610,610
Elias Rapieque,2024-08-25,790,790,790,371,521,853,0,0,0,0,0,0,371,521,853,790,790,790
Elias Rapieque,2024-08-27,790,910,910,387,537,1056,0,0,0,0,0,0,387,537,1056,790,910,910
Elias Rapieque,2024-08-28,855,1110,1110,462,788,1421,0,0,0,0,0,0,462,788,1421,855,1110,1110
Elias Rapieque,2024-08-30,745,1235,1235,358,976,1618,0,0,0,0,0,0,358,976,1618,745,1235,1235
Elias Rapieque,2024-08-31,735,1345,1345,338,1089,1735,0,0,0,0,0,0,338,1089,1735,735,1345,1345
Elias Rapieque,2024-09-01,555,1345,1345,189,1089,1627,240,240,240,14,14,14,203,1104,1642,795,1585,1585
Elias Rapieque,2024-09-03,535,1325,1445,214,1179,1763,240,240,240,14,14,14,228,1194,1777,775,1565,1685
Elias Rapieque,2024-09-04,455,1310,1565,155,1153,2003,240,240,240,14,14,14,169,1167,2018,695,1550,1805
Elias Rapieque,2024-09-05,575,1295,1685,236,1140,2275,240,240,240,14,14,14,250,1154,2289,815,1535,1925
Elias Rapieque,2024-09-06,555,1300,1790,211,1118,2506,240,240,240,14,14,14,225,1132,2520,795,1540,2030
Elias Rapieque,2024-09-07,505,1240,1850,177,1004,2646,260,260,260,23,23,23,200,1028,2669,765,1500,2110
Elias Rapieque,2024-09-09,610,1165,1955,256,885,2639,20,260,260,1,23,23,257,909,2663,630,1425,2215
Elias Rapieque,2024-09-10,600,1135,2045,216,863,2761,20,260,260,1,23,23,217,886,2784,620,1395,2305
Elias Rapieque,2024-09-11,480,935,2045,178,664,2904,20,260,260,1,23,23,178,687,2927,500,1195,2305
Elias Rapieque,2024-09-12,420,995,2105,139,736,3052,76,316,316,8,51,51,146,787,3103,496,1311,2421
Elias Rapieque,2024-09-13,365,920,2155,113,635,3189,132,372,372,22,86,86,136,720,3275,497,1292,2527
Elias Rapieque,2024-09-14,365,870,2215,128,609,3345,112,372,372,16,86,86,143,695,3430,477,1242,2587
Elias Rapieque,2024-09-15,365,870,2215,128,609,3345,184,204,444,39,49,133,166,658,3478,549,1074,2659
Elias Rapieque,2024-09-17,285,885,2210,77,558,3359,184,204,444,39,49,133,116,607,3492,469,1089,2654
Elias Rapieque,2024-09-18,410,890,2200,119,587,3388,184,204,444,39,49,133,158,636,3521,594,1094,2644
Elias Rapieque,2024-09-19,524,944,2239,278,812,3896,128,204,444,18,49,133,296,861,4029,652,1148,2683
Elias Rapieque,2024-09-20,586,951,2251,346,856,3962,72,204,444,5,49,133,351,905,4095,658,1155,2695
Elias Rapieque,2024-09-21,600,965,2205,348,897,3837,72,184,444,5,39,133,353,936,3970,672,1149,2649
Elias Rapieque,2024-09-22,600,965,2025,360,917,3321,44,228,488,3,62,176,363,978,3497,644,1193,2513
Elias Rapieque,2024-09-24,570,855,1990,348,752,3264,44,228,488,3,62,176,350,814,3439,614,1083,2478
Elias Rapieque,2024-09-25,548,958,1893,334,862,3048,44,228,488,3,62,176,337,924,3223,592,1186,2381
